idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
707980;SAN FERNANDO;18883;10264;8619
708080;SILTEPEC;21008;11010;9998
708180;SIMOJOVEL DE ALLENDE;17043;8538;8505
708280;SITALA;3503;1731;1772
708380;SOCOLTENANGO;7827;3914;3913
708480;SOLUSUCHIAPA;4779;2426;2353
708580;SOYALO;5563;2941;2622
708680;SUCHIAPA;7837;4035;3802
708780;SUCHIATE;14743;7428;7315
708880;SUNUAPA;1613;816;797
708980;TAPACHULA;144057;70869;73188
709080;TAPALAPA;2450;1197;1253
709180;TAPILULA;6492;3237;3255
709280;TECPATAN;21451;11025;10426
709380;TENEJAPA;20642;10446;10196
709480;TEOPISCA;10627;5217;5410
709680;TILA;34866;17850;17016
709780;TONALA;44673;21973;22700
709880;TOTOLAPA;3003;1565;1438
709980;TRINITARIA LA;35272;17810;17462
710080;TUMBALA;16090;8304;7786
710180;TUXTLA;166476;81397;85079
710280;TUXTLA CHICO;22361;11324;11037
710380;TUZANTAN;16044;8437;7607
710480;TZIMOL;6269;3067;3202
710580;UNION JUAREZ;11083;5670;5413
710680;VENUSTIANO CARRANZA;33059;16706;16353
710780;VILLA CORZO;31032;15978;15054
710880;VILLA FLORES;51096;25690;25406
710980;YAJALON;10202;5125;5077
711080;SAN LUCAS;3226;1649;1577
711180;ZINACANTAN;13006;6394;6612
800180;AHUMADA;12100;6216;5884
800280;ALDAMA;15667;7964;7703
800380;ALLENDE;10850;5505;5345
800480;AQUILES SERDAN;5092;2620;2472
800580;ASCENSION;11985;6127;5858
800680;BACHINIVA;8332;4345;3987
800780;BALLEZA;12917;6535;6382
800880;BATOPILAS;10513;5400;5113
800980;BOCOYNA;18113;9049;9064
801080;BUENAVENTURA;16317;8370;7947
801180;CAMARGO;44623;22445;22178
801280;CARICHIC;9297;4745;4552
801380;CASAS GRANDES;10861;5585;5276
801480;CORONADO;3282;1743;1539
801580;COYAME;3353;1736;1617
801680;CRUZ LA;4031;2085;1946
801780;CUAUHTEMOC;85589;42707;42882
801880;CUSIHUIRIACHIC;7907;4063;3844
801980;CHIHUAHUA;406830;198078;208752
802080;CHINIPAS;7770;4026;3744
802180;DELICIAS;82215;40868;41347
802280;DOCTOR BELISARIO DOMINGUEZ;6450;3294;3156
802380;GALEANA;3184;1616;1568
802480;GENERAL TRIAS;6060;3116;2944
802580;GOMEZ FARIAS;9698;4834;4864
802680;GRAN MORELOS;6347;3243;3104
802780;GUACHOCHI;29067;14615;14452
802880;GUADALUPE;8876;4565;4311
802980;GUADALUPE Y CALVO;30231;15372;14859
803080;GUAZAPARES;9381;4778;4603
803180;GUERRERO;40880;20887;19993
803280;HIDALGO DEL PARRAL;78994;38500;40494
803380;HUEJOTITAN;2132;1086;1046
803480;IGNACIO ZARAGOZA;9634;4883;4751
803580;JANOS;8906;4620;4286
803680;JIMENEZ;33230;16817;16413
803780;JUAREZ;567365;273187;294178
803880;JULIMES;5828;2958;2870
803980;LOPEZ;4479;2318;2161
804080;MADERA;34614;17600;17014
804180;MAGUARICHIC;1230;613;617
804280;MANUEL BENAVIDES;4164;2162;2002
804380;MATACHIC;4591;2316;2275
804480;MATAMOROS;5346;2746;2600
804580;MEOQUI;34727;17653;17074
804680;MORELOS;6746;3395;3351
804780;MORIS;5448;2820;2628
804880;NAMIQUIPA;32987;16943;16044
804980;NONOAVA;3714;1866;1848
805080;NUEVO CASAS GRANDES;36871;18154;18717
805180;OCAMPO;7590;3888;3702
805280;OJINAGA;26421;13188;13233
805380;PRAXEDIS G GUERRERO;7777;3875;3902
805480;RIVA PALACIO;10321;5278;5043
805580;ROSALES;13054;6739;6315
805680;ROSARIO;4160;2094;2066
805780;SAN FRANCISCO DE BORJA;3711;1889;1822
805880;SAN FRANCISCO DE CONCHOS;3302;1707;1595
805980;SAN FRANCISCO DEL ORO;12185;6174;6011
806080;SANTA BARBARA;17365;8709;8656
806180;SATEVO;7439;3876;3563
806280;SAUCILLO;31095;15788;15307
806380;TOMOSACHIC;9374;4926;4448
806480;TULE EL;2994;1493;1501
806580;URIQUE;13814;7073;6741
806680;URUACHIC;8036;4128;3908
806780;VALLE DE ZARAGOZA;8015;4138;3877
900280;AZCAPOTZALCO;601524;292635;308889
900380;COYOACAN;597129;283372;313757
900480;CUAJIMALPA DE MORELOS;91200;45152;46048
900580;GUSTAVO A. MADERO;1513360;734310;779050
900680;IZTACALCO;570377;278052;292325
900780;IZTAPALAPA;1262354;622628;639726
900880;MAGDALENA CONTRERAS LA;173105;84102;89003
900980;MILPA ALTA;53616;26531;27085
901080;ALVARO OBREGON;639213;306805;332408
901180;TLAHUAC;146923;72918;74005
901280;TLALPAN;368974;179173;189801
901380;XOCHIMILCO;217481;106465;111016
901480;BENITO JUAREZ;544882;242268;302614
901580;CUAUHTEMOC;814983;377417;437566
901680;MIGUEL HIDALGO;543062;249974;293088
901780;VENUSTIANO CARRANZA;692896;332800;360096
1000180;CANATLAN;64953;32718;32235
1000280;CANELAS;5862;2907;2955
1000380;CONETO DE COMONFORT;5645;2825;2820
1000480;CUENCAME;34432;17567;16865
1000580;DURANGO;321148;157722;163426
1000680;GENERAL SIMON BOLIVAR;12264;6231;6033
1000780;GOMEZ PALACIO;180011;89040;90971
1000880;GUADALUPE VICTORIA;32156;16141;16015
1000980;GUANACEVI;12821;6435;6386
1001080;HIDALGO;7277;3730;3547
1001180;INDE;10569;5349;5220
1001280;LERDO;73527;36959;36568
1001380;MAPIMI;28093;14378;13715
1001480;MEZQUITAL;12918;6427;6491
1001580;NAZAS;13808;7038;6770
1001680;NOMBRE DE DIOS;20763;10534;10229
1001780;OCAMPO;15292;7783;7509
1001880;EL ORO;18461;9103;9358
1001980;OTAEZ;5397;2727;2670
1002080;PANUCO DE CORONADO;16688;8480;8208
1002180;PENON BLANCO;10811;5539;5272
1002280;POANAS;25243;12635;12608
1002380;PUEBLO NUEVO;33530;16920;16610
1002480;RODEO;15818;7864;7954
1002580;SAN BERNARDO;7563;3862;3701
1002680;SAN DIMAS;22474;11484;10990
1002780;SAN JUAN DE GUADALUPE;9049;4584;4465
1002880;SAN JUAN DEL RIO;16535;8325;8210
1002980;SAN LUIS DEL CORDERO;3591;1767;1824
1003080;SAN PEDRO DEL GALLO;3429;1771;1658
1003180;SANTA CLARA;7008;3541;3467
1003280;SANTIAGO PAPASQUIARO;37895;18767;19128
1003380;SUCHIL;7312;3644;3668
1003480;TAMAZULA;20647;10666;9981
1003580;TEPEHUANES;14740;6953;7787
1003680;TLAHUALILO;28449;14371;14078
1003780;TOPIA;8658;4320;4338
1003880;VICENTE GUERRERO;17483;8785;8698
1100180;ABASOLO;46365;23102;23263
1100280;ACAMBARO;98126;48047;50079
1100380;ALLENDE;77624;38779;38845
1100480;APASEO EL ALTO;37414;18881;18533
1100580;APASEO EL GRANDE;44676;22247;22429
1100680;ATARJEA;4862;2480;2382
1100780;CELAYA;219010;106435;112575
1100880;CIUDAD MANUEL DOBLADO;32188;15800;16388
1100980;COMONFORT;45204;22503;22701
1101080;CORONEO;8533;4094;4439
1101180;CORTAZAR;61308;30267;31041
1101280;CUERAMARO;17524;8718;8806
1101380;DOCTOR MORA;10012;5041;4971
1101480;DOLORES HIDALGO;67358;33761;33597
1101580;GUANAJUATO;83576;41144;42432
1101680;HUANIMARO;15877;7948;7929
1101780;IRAPUATO;246308;120832;125476
1101880;JARAL DEL PROGRESO;24445;12087;12358
1101980;JERECUARO;44731;22611;22120
1102080;LEON;655809;322866;332943
1102180;MOROLEON;44858;21662;23196
1102280;OCAMPO;19246;9499;9747
1102380;PENJAMO;105105;52067;53038
1102480;PUEBLO NUEVO;9585;4601;4984
1102580;PURISIMA DEL RINCON;23211;11425;11786
1102680;ROMITA;34984;17538;17446
1102780;SALAMANCA;160040;79267;80773
1102880;SALVATIERRA;94732;46263;48469
1102980;SAN DIEGO DE LA UNION;23474;11771;11703
1103080;SAN FELIPE;64291;32369;31922
1103180;SAN FRANCISCO DEL RINCON;66575;32559;34016
1103280;SAN JOSE ITURBIDE;28796;14228;14568
1103380;SAN LUIS DE LA PAZ;53469;26584;26885
1103480;SANTA CATARINA;3556;1700;1856
1103580;SANTA CRUZ DE JUVENTINO ROSAS;38222;19094;19128
1103680;SANTIAGO MARAVATIO;9006;4368;4638
1103780;SILAO;77036;38760;38276
1103880;TARANDACUAO;11958;5971;5987
