idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
1410280;TONALA;52158;26676;25482
1410380;TONAYA;6865;3270;3595
1410480;TONILA;7486;3751;3735
1410580;TOTATICHE;7663;3589;4074
1410680;TOTOTLAN;17419;8573;8846
1410780;TUXCACUESCO;4302;2170;2132
1410880;TUXCUECA;5604;2741;2863
1410980;TUXPAN;29340;14295;15045
1411080;UNION DE SAN ANTONIO;13201;6447;6754
1411180;UNION DE TULA;13185;6396;6789
1411280;VALLE DE GUADALUPE;5872;2848;3024
1411380;VALLE DE JUAREZ;6159;2996;3163
1411480;VENUSTIANO CARRANZA;14450;7159;7291
1411580;VILLA CORONA;15422;7580;7842
1411680;VILLA GUERRERO;7795;3818;3977
1411780;VILLA HIDALGO;10461;5167;5294
1411880;YAHUALICA DE GONZALEZ;22991;10950;12041
1411980;ZACOALCO DE TORRES;23923;11723;12200
1412080;ZAPOPAN;389081;191688;197393
1412180;ZAPOTILTIC;25187;12319;12868
1412280;ZAPOTITLAN DE VADILLO;7108;3487;3621
1412380;ZAPOTLAN DEL REY;12045;5949;6096
1412480;ZAPOTLANEJO;35588;17529;18059
1500180;ACAMBAY;37766;19206;18560
1500280;ACOLMAN;32316;15724;16592
1500380;ACULCO;24231;12342;11889
1500480;ALMOLOYA DE ALQUISIRAS;10268;5100;5168
1500580;ALMOLOYA DE JUAREZ;64620;33185;31435
1500680;ALMOLOYA DEL RIO;6193;3053;3140
1500780;AMANALCO;14304;7269;7035
1500880;AMATEPEC;23101;11691;11410
1500980;AMECAMECA;31621;15663;15958
1501080;APAXCO;15379;7753;7626
1501180;ATENCO;16418;8231;8187
1501280;ATIZAPAN;5072;2592;2480
1501380;ATIZAPAN DE ZARAGOZA;202248;98440;103808
1501480;ATLACOMULCO;39124;19308;19816
1501580;ATLAUTLA;16840;8442;8398
1501680;AXAPUSCO;12207;6253;5954
1501780;AYAPANGO;2986;1518;1468
1501880;CALIMAYA;21876;10762;11114
1501980;CAPULHUAC;18257;8986;9271
1502080;COACALCO;97353;47541;49812
1502180;COATEPEC HARINAS;22461;11081;11380
1502280;COCOTITLAN;7510;3738;3772
1502380;COYOTEPEC;19796;9874;9922
1502480;CUAUTITLAN;39527;19515;20012
1502580;CHALCO;78393;39461;38932
1502680;CHAPA DE MOTA;13681;7025;6656
1502780;CHAPULTEPEC;3675;1808;1867
1502880;CHIAUTLA;10618;5289;5329
1502980;CHICOLOAPA;27354;13780;13574
1503080;CHINCONCUAC;11371;5652;5719
1503180;CHIMALHUACAN;61816;31023;30793
1503280;DONATO GUERRA;13671;7013;6658
1503380;ECATEPEC;784507;389499;395008
1503480;ECATZINGO;4414;2217;2197
1503580;HUEHUETOCA;9916;5120;4796
1503680;HUEYPOXTLA;19288;10037;9251
1503780;HUIXQUILUCAN;78149;38553;39596
1503880;ISIDRO FABELA;3924;2023;1901
1503980;IXTAPALUCA;77862;39569;38293
1504080;IXTAPAN DE LA SAL ;18899;9334;9565
1504180;IXTAPAN DEL ORO;4216;2170;2046
1504280;IXTLAHUACA;68719;34679;34040
1504380;JALATLACO;12097;6086;6011
1504480;JALTENCO;7847;3994;3853
1504580;JILOTEPEC;45505;23020;22485
1504680;JILOTZINGO;6306;3251;3055
1504780;JIQUIPILCO;29744;15531;14213
1504880;JOCOTITLAN;32967;16546;16421
1504980;JOQUICINGO;7211;3652;3559
1505080;JUCHITEPEC;13040;6482;6558
1505180;LERMA;57219;28726;28493
1505280;MALINALCO;13899;7016;6883
1505380;MELCHOR OCAMPO;17990;8956;9034
1505480;METEPEC;6079;2981;3098
1505580;MEXICALTZINGO;83030;40851;42179
1505680;MORELOS;19068;9557;9511
1505780;NAUCALPAN DE JUAREZ;730170;354627;375543
1505880;NEXTLALPAN;7380;3638;3742
1505980;NEZAHUALCOYOTL;1341230;666106;675124
1506080;NICOLAS ROMERO;112645;56489;56156
1506180;NOPALTEPEC;3929;2039;1890
1506280;OCOYACAC;33952;16991;16961
1506380;OCUILAN;15809;8018;7791
1506480;ORO EL;22753;11294;11459
1506580;OTUMBA;14509;7321;7188
1506680;OTZOLOAPAN;3419;1742;1677
1506780;OTZOLOTEPEC;29112;14848;14264
1506880;OZUMBA;19258;9447;9811
1506980;PAPALOTLA;1769;865;904
1507080;PAZ LA;99436;49894;49542
1507180;POLOTITLA;9250;4668;4582
1507280;RAYON;5688;2841;2847
1507380;SAN ANTONIO LA ISLA;9504;4751;4753
1507480;SAN FELIPE DEL PROGRESO;94862;48276;46586
1507580;SAN MARTIN DE LAS PIRAMIDES;10610;5415;5195
1507680;SAN MATEO ATENCO;33719;16857;16862
1507780;SAN SIMON DE GUERRERO;3678;1858;1820
1507880;SANTO TOMAS;6336;3199;3137
1507980;SOYANIQUILPAN DE JUAREZ;6081;3139;2942
1508080;SULTEPEC;19631;9897;9734
1508180;TECAMAC;84129;41861;42268
1508280;TEJUPILCO;57303;29243;28060
1508380;TEMAMATLA;3663;1803;1860
1508480;TEMASCALAPA;12698;6425;6273
1508580;TEMASCALCINGO;45719;23368;22351
1508680;TEMASCALTEPEC;19853;10203;9650
1508780;TEMOAYA;34120;17314;16806
1508880;TENANCINGO;46331;23024;23307
1508980;TENANGO DEL AIRE;8639;4372;4267
1509080;TENANGO DEL VALLE;38381;19111;19270
1509180;TEOLOYUCAN;28836;14280;14556
1509280;TEOTIHUACAN;30140;15129;15011
1509380;TEPETLAOXTOC;10019;5224;4795
1509480;TEPETLIXPA;10179;5308;4871
1509580;TEPOTZOTLAN;27099;13569;13530
1509680;TEQUIXQUIAC;15486;7858;7628
1509780;TEXCALTITLAN;11366;5780;5586
1509880;TEXCALYACAC;2381;1169;1212
1509980;TEXCOCO;105851;52936;52915
1510080;TEZOYUCA;7567;3745;3822
1510180;TIANGUISTENCO;37017;18431;18586
1510280;TIMILPAN;11566;5870;5696
1510380;TLALMANALCO;34071;16923;17148
1510480;TLALNEPANTLA;778173;383906;394267
1510580;TLATLAYA;31752;16062;15690
1510680;TOLUCA;357071;173136;183935
1510780;TONATICO;9852;4814;5038
1510880;TULTEPEC;22910;11255;11655
1510980;TULTITLAN;136829;67784;69045
1511080;VALLE DE BRAVO;36762;18237;18525
1511180;VILLA DE ALLENDE;24094;12288;11806
1511280;VILLA DEL CARBON;20357;10352;10005
1511380;VILLA GUERRERO;28953;14368;14585
1511480;VILLA VICTORIA;47130;24058;23072
1511580;XONACATLAN;19546;9824;9722
1511680;ZACAZONAPAN;2098;1060;1038
1511780;ZACUALPAN;12797;6380;6417
1511880;ZINACANTEPEC;60232;30358;29874
1511980;ZUMPAHUACAN;9539;4888;4651
1512080;ZUMPANGO;51393;25604;25789
1512180;CUAUTITLAN IZCALLI;173754;86161;87593
1600180;ACUITZIO;7119;3407;3712
1600280;AGUILILLA;23171;11612;11559
1600380;ALVARO OBREGON;15651;7817;7834
1600480;ANGAMACUTIRO;11876;5765;6111
1600580;ANGANGUEO;9266;4550;4716
1600680;APATZINGAN;75805;38188;37617
1600780;APORO;2377;1164;1213
1600880;AQUILA;19726;10175;9551
1600980;ARIO;25656;12584;13072
1601080;ARTEAGA;17975;8926;9049
1601180;BRISEÑAS DE MATAMOROS;8487;4150;4337
1601280;BUENAVISTA;30676;15640;15036
1601380;CARACUARO;10608;5382;5226
1601480;COAHUAYANA;11853;5958;5895
1601580;COALCOMAN;17191;8541;8650
1601680;COENEO;24905;12292;12613
1601780;CONTEPEC;19818;9942;9876
1601880;COPANDARO DE GALEANA;7744;3841;3903
1601980;COTIJA;17905;8610;9295
1602080;CUITZEO;21783;10766;11017
1602180;CHARAPAN;9863;4886;4977
1602280;CHARO;13782;6940;6842
1602380;CHAVINDA;12354;5928;6426
1602480;CHERAN;13267;6580;6687
1602580;CHILCHOTA;17620;8713;8907
1602680;CHINICUILA;8062;4166;3896
1602780;CHUCANDIRO;8398;4215;4183
1602880;CHURINTZIO;10190;4794;5396
1602980;CHURUMUCO;11711;6027;5684
1603080;ECUANDUREO;15023;7199;7824
1603180;EPITACIO HUERTA;12586;6329;6257
1603280;ERONGARICUARO;11270;5575;5695
1603380;GABRIEL ZAMORA;16503;8361;8142
1603480;HIDALGO;72787;35882;36905
1603580;HUACANA LA;30830;15652;15178
1603680;HUANDACAREO;11234;5506;5728
1603780;HUANIQUEO;12287;5925;6362
1603880;HUETAMO;35910;18092;17818
1603980;HUIRAMBA;4985;2540;2445
1604080;INDAPARAPEO;12351;6172;6179
1604180;IRIMBO;7372;3624;3748
1604280;IXTLAN;14870;7302;7568
1604380;JACONA;35247;17157;18090
1604480;JIMENEZ;18839;9138;9701
1604580;JIQUILPA;32680;15625;17055
1604680;JUAREZ;7366;3789;3577
1604780;JUNGAPEO;14587;7437;7150
1604880;LAGUNILLAS;4955;2518;2437
1604980;LAZARO CARDENAS;62355;31299;31056
1605080;MADERO;15758;7871;7887
1605180;MARAVATIO;40660;20518;20142
1605280;MARCOS CASTELLANOS;8902;4326;4576
1605380;MORELIA;353055;172763;180292
1605480;MORELOS;11889;5824;6065
1605580;MUGICA;31061;15547;15514
1605680;NAHUATZEN;16610;8147;8463
1605780;NUCUPETARO;8904;4445;4459
1605880;NUEVO PARANGARICUTIRO;10118;4986;5132
1605980;NUEVO URECHO;8140;4116;4024
1606080;NUMARAN;9123;4388;4735
1606180;OCAMPO;11696;5879;5817
1606280;PAJACUARAN;20206;9804;10402
1606380;PANINDICUARO;18054;8807;9247
1606480;PARACUARO;21090;10683;10407
1606580;PARACHO;23586;11591;11995
1606680;PATZCUARO;53287;26020;27267
1606780;PENJAMILLO;21270;10360;10910
1606880;PERIBAN;13967;7009;6958
1606980;PIEDAD LA;63608;30036;33572
1607080;PUREPERO;16133;7706;8427
1607180;PURUANDIRO;55853;27273;28580
1607280;QUERENDARO;12698;6307;6391
1607380;QUIROGA;19748;9740;10008
1607480;REGULES;10823;5231;5592
1607580;REYES LOS;38017;18587;19430
1607680;SAHUAYO;46099;22257;23842
1607780;SALVADOR ESCALANTE;29398;14650;14748
1607880;SAN LUCAS;16756;8329;8427
1607980;SANTA ANA MAYA;12968;6263;6705
1608080;SENGUIO;14803;7394;7409
1608180;SUSUPUATO;6360;3172;3188
1608280;TACAMBARO;42777;21505;21272
1608380;TANCITARO;16578;8376;8202
1608480;TANGAMANDAPIO;16503;8131;8372
1608580;TANGANCICUARO;30947;14975;15972
1608680;TANHUATO;14102;6955;7147
1608780;TARETAN;11113;5612;5501
1608880;TARIMBARO;25503;12744;12759
1608980;TEPALCATEPEC;23717;11882;11835
1609080;TINGAMBATO;8471;4115;4356
1609180;TINGUINDIN;10897;5191;5706
1609280;TIQUICHEO;15174;7593;7581
1609380;TLALPUJAHUA;19174;9244;9930
1609480;TLAZAZALCA;11735;5747;5988
1609580;TOCUMBO;9837;4801;5036
1609680;TUMBISCATIO DE RUIZ;8670;4422;4248
1609780;TURICATO;31514;15963;15551
1609880;TUXPAN;16722;8403;8319
1609980;TUZANTLA;16429;8304;8125
1610080;TZINTZUNTZAN;10440;5152;5288
1610180;TZITZIO;12386;6362;6024
1610280;URUAPAN;146998;71429;75569
1610380;VENUSTIANO CARRANZA;17926;8524;9402
1610480;VILLAMAR;20757;10035;10722
1610580;VISTAHERMOSA;15527;7575;7952
1610680;YURECUARO;21547;10311;11236
1610780;ZACAPU;62620;30473;32147
1610880;ZAMORA;113474;55059;58415
1610980;ZINAPARO;5396;2536;2860
1611080;ZINAPECUARO;37571;18670;18901
1611180;ZIRACUARETIRO;7139;3552;3587
1611280;ZITACUARO;83649;41172;42477
1611380;JOSE SIXTO VERDUZCO;24015;12014;11971
1700180;AMACUZAC;10118;5090;5028
1700280;ATLATLAHUCAN;8300;4251;4049
1700380;AXOCHIAPAN;21404;10892;10512
1700480;AYALA;43200;21836;21364
1700580;COATLAN DEL RIO;7996;4113;3883
1700680;CUAUTLA;94101;45771;48330
1700780;CUERNAVACA;232355;111692;120663
1700880;EMILIANO ZAPATA;20977;10519;10458
1700980;HUITZILAC;8388;4250;4138
1701080;JANTETELCO;9585;4867;4718
1701180;JIUTEPEC;69687;34381;35306
1701280;JOJUTLA;44902;22089;22813
1701380;JONACATEPEC;9394;4626;4768
1701480;MAZATEPEC;6108;3106;3002
1701580;MIACATLAN;18874;9906;8968
1701680;OCUITUCO;10634;5454;5180
1701780;PUENTE DE IXTLA;34810;17446;17364
1701880;TEMIXCO;45147;22288;22859
1701980;TEPALCINGO;18786;9625;9161
1702080;TEPOZTLAN;19122;9642;9480
1702180;TETECALA;5606;2644;2962
1702280;TETELA DEL VOLCAN;10638;5476;5162
1702380;TLALNEPANTLA;3441;1716;1725
1702480;TLALTIZAPAN;29302;14657;14645
1702580;TLAQUILTENANGO;24136;12227;11909
1702680;TLAYACAPAN;7950;4036;3914
1702780;TOTOLAPAN;5498;2823;2675
1702880;XOCHITEPEC;16413;8203;8210
1702980;YAUTEPEC;44026;21786;22240
1703080;YECAPIXTLA;19923;10045;9878
1703180;ZACATEPEC;31354;15144;16210
1703280;ZACUALPAN;6248;3232;3016
1703380;TEMOAC;8666;4452;4214
1800180;ACAPONETA;35866;17942;17924
1800280;AHUACATLAN;15846;7962;7884
1800380;AMATLAN DE CAÑAS;13036;6559;6477
1800480;COMPOSTELA;86189;43776;42413
1800580;HUAJICORI;8595;4411;4184
1800680;IXTLAN;20875;10137;10738
1800780;JALA;14582;7233;7349
1800880;JALISCO;19705;10199;9506
1800980;NAYAR;20016;10036;9980
1801080;ROSAMORADA;34695;17884;16811
1801180;RUIZ;20295;10340;9955
1801280;SAN BLAS;41805;21970;19835
1801380;SAN PEDRO LAGUNILLAS;8308;4209;4099
1801480;SANTA MARIA DEL ORO;18803;9549;9254
1801580;SANTIAGO IXCUINTLA;98935;49741;49194
1801680;TECUALA;46341;23321;23020
1801780;TEPIC;177007;86620;90387
1801880;TUXPAN;34079;17018;17061
1801980;YESCA LA;11142;5552;5590
1900180;ABASOLO;712;362;350
1900280;AGUALEGUAS;5364;2679;2685
1900380;ALDAMAS LOS;4008;2042;1966
1900480;ALLENDE;19286;9634;9652
1900580;ANAHUAC;16479;8439;8040
1900680;APODACA;37181;18838;18343
1900780;ARAMBERRI;17027;8828;8199
1900880;BUSTAMANTE;3268;1626;1642
1900980;CADEREYTA JIMENEZ;45147;23146;22001
1901080;CARMEN;3931;2009;1922
1901180;CERRALVO;7625;3769;3856
1901280;CIENEGA DE FLORES;5075;2578;2497
1901380;CHINA;11879;6082;5797
1901480;DOCTOR ARROYO;41439;21413;20026
1901580;DOCTOR COSS;3945;2038;1907
1901680;DOCTOR GONZALEZ;2222;1130;1092
1901780;GALEANA ;42326;21525;20801
1901880;GARCIA;10434;5480;4954
1901980;GARZA GARCIA;81974;38325;43649
1902080;GENERAL BRAVO;6807;3509;3298
1902180;GENERAL ESCOBEDO;37756;19202;18554
1902280;GENERAL TERAN;18720;9411;9309
1902380;GENERAL TREVIÑO;1921;956;965
1902480;GENERAL ZARAGOZA;6352;3351;3001
1902580;GENERAL ZUAZUA;4045;2071;1974
1902680;GUADALUPE;370908;185794;185114
1902780;HERRERAS LOS;3554;1854;1700
1902880;HIDALGO;10949;5476;5473
1902980;HIGUERAS;993;495;498
1903080;HUALAHUISES;6366;3167;3199
1903180;ITURBIDE;3839;2036;1803
1903280;JUAREZ;13490;6838;6652
1903380;LAMPAZOS DE NARANJO;5682;2961;2721
1903480;LINARES;53691;26731;26960
1903580;MARIN;2581;1357;1224
1903680;MELCHOR OCAMPO;1055;552;503
1903780;MIER Y NORIEGA;7568;3882;3686
1903880;MINA;4368;2270;2098
1903980;MONTEMORELOS;43874;21887;21987
1904080;MONTERREY;1090009;537119;552890
1904180;PARAS;1179;623;556
1904280;PESQUERIA;6963;3582;3381
1904380;RAMONES LOS;7565;3777;3788
1904480;RAYONES;3506;1798;1708
1904580;SABINAS HIDALGO;24893;12295;12598
1904680;SALINAS VICTORIA;9189;4690;4499
1904780;SAN NICOLAS DE LOS GARZA;280696;140438;140258
1904880;SANTA CATARINA;89488;45032;44456
1904980;SANTIAGO;28585;14583;14002
1905080;VALLECILLO;2525;1291;1234
1905180;VILLALDAMA;4605;2315;2290
2000180;ABEJONES;1056;547;509
2000280;ACATLAN DE PEREZ FIGUEROA;32818;16723;16095
2000380;ASUNCION CACALOTEPEC;1684;811;873
2000480;ASUNCION CUYOTEPEJI;719;357;362
2000580;ASUNCION IXTALTEPEC;10977;5454;5523
2000680;ASUNCION NOCHIXTLAN;8867;4322;4545
2000780;ASUNCION OCOTLAN;2831;1437;1394
2000880;ASUNCION TLACOLULITA;1567;792;775
2000980;AYOTZINTEPEC;3341;2116;1225
2001080;BARRIO EL;9028;4503;4525
2001180;CALIHUALA;1845;935;910
2001280;CANDELARIA LOXICHA;5580;2809;2771
2001380;CIENEGA LA;3283;1615;1668
2001480;CIUDAD IXTEPEC;15537;7565;7972
2001580;COATECAS ALTAS;4427;2233;2194
2001680;COICOYAN DE LAS FLORES;2795;1406;1389
2001780;COMPAÑIA LA;3673;1880;1793
2001880;CONCEPCION BUENAVISTA;1272;629;643
2001980;CONCEPCION PAPALO;3142;1580;1562
2002080;CONSTANCIA DEL ROSARIO;2116;1147;969
2002180;COSOLAPA;8602;4319;4283
2002280;COSOLTEPEC;1064;503;561
2002380;CUILAPAM DE GUERRERO;10647;5206;5441
2002480;CUYAMECALCO VILLA DE ZARAGOZA;3362;1686;1676
2002580;CHAHUITES;6522;3195;3327
2002680;CHALCATONGO DE HIDALGO;8679;4172;4507
2002780;CHIQUIHUITLAN DE BENITO JUAREZ;3077;1456;1621
2002880;EJUTLA DE CRESPO;16381;8212;8169
2002980;ELOXOCHITLAN DE FLORES MAGON;3878;1916;1962
2003080;ESPINAL EL;7495;3767;3728
2003180;ESPIRITU SANTO TAMAZULAPAM;5213;2533;2680
2003280;FRESNILLO DE TRUJANO;1332;675;657
2003380;GUADALUPE RAMIREZ;1751;867;884
2003480;GUADALUPE ETLA;1674;824;850
2003580;GUELATAO DE JUAREZ;430;205;225
2003680;GUEVEA DE HUMBOLDT;2092;1078;1014
2003780;HIDALGO;3805;1924;1881
2003880;HIDALGO YAI ALAG;2323;1096;1227
2003980;HUAJAPAM DE LEON;24865;11694;13171
2004080;HUAUTEPEC;3855;1905;1950
2004180;HUAUTLA DE JIMENEZ;21769;10643;11126
2004280;IXTLAN DE JUAREZ;5309;2628;2681
2004380;JUCHITAN DE ZARAGOZA;45011;22158;22853
2004480;LOMA BONITA;33244;16016;17228
2004580;MAGDALENA APASCO;3790;1886;1904
2004680;MAGDALENA JALTEPEC;4022;1976;2046
2004780;MAGDALENA JICOTLAN;224;91;133
2004880;MAGDALENA MIXTEPEC;461;208;253
2004980;MAGDALENA OCOTLAN;1098;540;558
2005080;MAGDALENA PEÑASCO;1686;959;727
2005180;MAGDALENA TEITIPAC;1909;983;926
2005280;MAGDALENA TEQUISISTLAN;4762;2447;2315
2005380;MAGDALENA TLACOTEPEC;1702;867;835
2005480;MAGDALENA ZAHUATLAN;722;345;377
2005580;MARISCAL DE JUAREZ;3765;1760;2005
2005680;MARTIRES DE TACUBAYA;943;458;485
2005780;MATIAS ROMERO;29709;14565;15144
2005880;MAZATLAN DE FLORES;8743;4528;4215
2005980;MIAHUATLAN DE PORFIRIO DIAZ;18469;9069;9400
2006080;MIXISTLAN DE LA REFORMA;3100;1542;1558
2006180;MONJAS;1638;871;767
2006280;NATIVIDAD;1253;577;676
2006380;NAZARENO ETLA;2856;1380;1476
2006480;NEJAPA DE MADERO;5857;2924;2933
2006580;NIEVES IXPANTEPEC;3113;1487;1626
2006680;NILTEPEC;5940;3004;2936
2006780;OAXACA DE JUAREZ;157284;74924;82360
2006880;OCOTLAN DE MORELOS;8802;4281;4521
2006980;PE LA;1946;984;962
2007080;PINOTEPA DE DON LUIS;5731;2794;2937
2007180;PLUMA HIDALGO;4356;2216;2140
2007280;PROGRESO;3781;1906;1875
2007380;PUTLA DE GUERRERO;18468;9372;9096
2007480;QUIOQUITANI;528;253;275
2007580;REFORMA DE PINEDA;4009;2024;1985
2007680;REFORMA LA;3321;1623;1698
2007780;REYES ETLA;2533;1271;1262
2007880;ROJAS DE CUAUTEMOC;1044;538;506
2007980;SALINA CRUZ;42239;21091;21148
2008080;SAN AGUSTIN AMATENGO;1852;881;971
2008180;SAN AGUSTIN ATENANGO;960;483;477
2008280;SAN AGUSTIN CHAYUCO;4249;2107;2142
2008380;SAN AGUSTIN DE LAS JUNTAS;1560;751;809
2008480;SAN AGUSTIN ETLA;2727;1364;1363
2008580;SAN AGUSTIN LOXICHA;12851;6533;6318
2008680;SAN AGUSTIN TLACOTEPEC;990;480;510
2008780;SAN AGUSTIN YATERENI;2114;1077;1037
2008880;SAN ANDRES CABECERA NUEVA;2201;1107;1094
2008980;SAN ANDRES DINICUITI;2105;1043;1062
2009080;SAN ANDRES HUAXPALTEPEC;3815;1926;1889
2009180;SAN ANDRES HUAYAPAM ;772;392;380
2009280;SAN ANDRES IXTLAHUACA;1252;662;590
2009380;SAN ANDRES LAGUNAS;780;386;394
2009480;SAN ANDRES NUXIÑO;1746;854;892
2009580;SAN ANDRES PAXTLAN;1691;848;843
2009680;SAN ANDRES SINAXTLA;939;455;484
2009780;SAN ANDRES SOLAGA;2211;1086;1125
2009880;SAN ANDRES TEOTILALPAM;3806;1838;1968
2009980;SAN ANDRES TEPETLAPA;620;321;299
2010080;SAN ANDRES YAA;915;450;465
2010180;SAN ANDRES ZABACHE;944;447;497
2010280;SAN ANDRES ZAUTLA;2504;1234;1270
2010380;SAN ANTONINO CASTILLO VELAZCO;3606;1788;1818
2010480;SAN ANTONINO EL ALTO;1724;859;865
2010580;SAN ANTONINO MONTEVERDE;3855;1934;1921
2010680;SAN ANTONIO ACUTLA;566;270;296
2010780;SAN ANTONIO DE LA CAL;3704;1833;1871
2010880;SAN ANTONIO HUITEPEC;3950;1884;2066
2010980;SAN ANTONIO NANAHUATIPAC;1656;856;800
2011080;SAN ANTONIO SINICAHUA;1204;594;610
2011180;SAN ANTONIO TEPETLAPA;2956;1523;1433
2011280;SAN BALTASAR CHICHICAPAM;2649;1314;1335
2011380;SAN BALTASAR LOXICHA;2373;1188;1185
2011480;SAN BALTASAR YATZACHI EL BAJO;1562;723;839
2011580;SAN BARTOLO LOXOTEPEC;2921;1417;1504
2011680;SAN BARTOLO SOYALTEPEC;1212;608;604
2011780;SAN BARTOLO YAUTEPEC;1836;906;930
2011880;SAN BARTOLOME AYAUTLA;3332;1613;1719
2011980;SAN BARTOLOME LOXICHA;1914;957;957
2012080;SAN BARTOLOME QUIALANA;2386;1222;1164
2012180;SAN BARTOLOME YUCUAÑE;597;281;316
2012280;SAN BARTOLOME ZOOGOCHO;848;392;456
2012380;SAN BERNARDO MIXTEPEC;2473;1270;1203
2012480;SAN BLAS ATEMPA;7173;3496;3677
2012580;SAN CARLOS YAUTEPEC;10361;5221;5140
2012680;SAN CRISTOBAL AMATLAN;2575;1278;1297
2012780;SAN CRISTOBAL AMOLTEPEC;1182;579;603
2012880;SAN CRISTOBAL LACHIRIOAG;1748;900;848
2012980;SAN CRISTOBAL SUCHIXTLAHUACA;577;258;319
2013080;SAN DIONISIO DEL MAR;3683;1859;1824
2013180;SAN DIONISIO OCOTEPEC;6875;3525;3350
2013280;SAN DIONISIO OCOTLAN;1151;540;611
2013380;SAN ESTEBAN ATATLAHUCA;3886;1921;1965
2013480;SAN FELIPE JALAPA DE DIAZ;8928;4483;4445
2013580;SAN FELIPE TEJALAPAM;4302;2146;2156
2013680;SAN FELIPE USILA;8135;4055;4080
2013780;SAN FRANCISCO CAHUACUA;2314;1162;1152
2013880;SAN FRANCISCO CAJONOS;808;391;417
2013980;SAN FRANCISCO CHAPULAPA;1797;901;896
2014080;SAN FRANCISCO CHINDUA;742;369;373
2014180;SAN FRANCISCO DEL MAR;1090;567;523
2014280;SAN FRANCISCO HUEHUETLAN;1972;960;1012
2014380;SAN FRANCISCO IXHUATAN;8337;4195;4142
2014480;SAN FRANCISCO JALTEPETONGO;1746;902;844
2014580;SAN FRANCISCO LACHIGOLO;1191;625;566
2014680;SAN FRANCISCO LOGUECHE;1101;538;563
2014780;SAN FRANCISCO NUXAÑO;908;458;450
2014880;SAN FRANCISCO OZOLOTEPEC;1452;749;703
2014980;SAN FRANCISCO SOLA;1188;587;601
2015080;SAN FRANCISCO TELIXTLAHUACA;5983;2932;3051
2015180;SAN FRANCISCO TEOPAM;561;314;247
2015280;SAN FRANCISCO TLAPANCINGO;1503;759;744
2015380;SAN GABRIEL MIXTEPEC;3099;1575;1524
2015480;SAN IDELFONSO AMATLAN;2133;1034;1099
2015580;SAN IDELFONSO SOLA;743;362;381
2015680;SAN IDELFONSO VILLA ALTA;2939;1450;1489
2015780;SAN JACINTO AMILPAS;2024;981;1043
2015880;SAN JACINTO TLACOTEPEC;1148;585;563
2015980;SAN JERONIMO COATLAN;3291;1652;1639
2016080;SAN JERONIMO SILACAYOAPILLA;1853;914;939
2016180;SAN JERONIMO SOSOLA;3511;1694;1817
2016280;SAN JERONIMO TAVICHE;1540;772;768
2016380;SAN JERONIMO TECOATL;1985;919;1066
2016480;SAN JORGE NUCHITA;1043;532;511
2016580;SAN JOSE AYUQUILA;1252;592;660
2016680;SAN JOSE CHILTEPEC;8097;4120;3977
2016780;SAN JOSE DEL PEÑASCO;1354;706;648
2016880;SAN JOSE ESTANCIA GRANDE;1080;511;569
2016980;SAN JOSE INDEPENDENCIA;3191;1711;1480
2017080;SAN JOSE LACHIGUIRI;2958;1480;1478
2017180;SAN JOSE TENANGO;15312;7722;7590
2017280;SAN JUAN ACHIUTLA;1021;491;530
2017380;SAN JUAN ATEPEC;2063;1010;1053
2017480;ANIMAS TRUJANO;1678;818;860
2017580;SAN JUAN BAUTISTA ATATLAHUACA;1559;770;789
2017680;SAN JUAN BAUTISTA COIXTLAHUACA;3976;1944;2032
2017780;SAN JUAN BAUTISTA CUICATLAN;6973;3513;3460
2017880;SAN JUAN BAUTISTA GUELACHE;3244;1585;1659
2017980;SAN JUAN BAUTISTA JAYACATLAN;1347;679;668
2018080;SAN JUAN BAUTISTA LO DE SOTO;2539;1272;1267
2018180;SAN JUAN BAUTISTA SUCHITEPEC;661;302;359
2018280;SAN JUAN BAUTISTA TLACOATZINTEPEC;1819;891;928
2018380;SAN JUAN BAUTISTA TLACHICHILCO;1584;782;802
2018480;SAN JUAN BAUTISTA TUXTEPEC;61093;30669;30424
2018580;SAN JUAN CACAHUATEPEC;6459;3110;3349
2018680;SAN JUAN CIENEGUILLA;1085;534;551
2018780;SAN JUAN COATZOSPAM;1964;989;975
2018880;SAN JUAN COLORADO;6563;3251;3312
2018980;SAN JUAN COMALTEPEC;1607;817;790
2019080;SAN JUAN COTZOCON;15773;8040;7733
2019180;SAN JUAN CHICOMEZUCHIL;569;290;279
2019280;SAN JUAN CHILATECA;1546;744;802
2019380;SAN JUAN DEL ESTADO;2348;1166;1182
2019480;SAN JUAN DEL RIO;1472;720;752
2019580;SAN JUAN DIUXI;1987;1025;962
2019680;SAN JUAN EVANGELISTA ANALCO;853;417;436
2019780;SAN JUAN GUELAVIA;3645;1833;1812
2019880;SAN JUAN GUICHICOVI;19959;9834;10125
2019980;SAN JUAN IGUALTEPEC;1011;524;487
2020080;SAN JUAN JUQUILA MIXES;4581;2188;2393
2020180;SAN JUAN JUQUILA VIJANOS;1510;751;759
2020280;SAN JUAN LACHAO;3242;1608;1634
2020380;SAN JUAN LACHIGALLA;3251;1684;1567
2020480;SAN JUAN LAJARCIA;1310;630;680
2020580;SAN JUAN LALANA;8357;4250;4107
2020680;SAN JUAN DE LOS CUES;2918;1520;1398
2020780;SAN JUAN MAZATLAN;9180;4733;4447
